Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed,Year,Month_Num,Departing_Latitude,Departing_Longitude,Arriving_Latitude,Arriving_Longitude,Reliability
Brisbane-Melbourne,Brisbane,Melbourne,Tigerair Australia,Jan-20,121,118,3,81,80,37,38,2020,1,-27.3842,153.1175,-37.669,144.841,67.79661016949152
Brisbane-Sydney,Brisbane,Sydney,Tigerair Australia,Jan-20,139,134,5,93,91,41,43,2020,1,-27.3842,153.1175,-33.9399,151.1753,67.91044776119402
Cairns-Brisbane,Cairns,Brisbane,Tigerair Australia,Jan-20,31,30,1,23,25,7,5,2020,1,-16.8858,145.7553,-27.3842,153.1175,83.33333333333334
Cairns-Melbourne,Cairns,Melbourne,Tigerair Australia,Jan-20,43,43,0,31,31,12,12,2020,1,-16.8858,145.7553,-37.669,144.841,72.09302325581395
Cairns-Sydney,Cairns,Sydney,Tigerair Australia,Jan-20,31,31,0,25,27,6,4,2020,1,-16.8858,145.7553,-33.9399,151.1753,87.09677419354838
Canberra-Brisbane,Canberra,Brisbane,Tigerair Australia,Jan-20,31,30,1,24,22,6,8,2020,1,-35.3069,149.195,-27.3842,153.1175,73.33333333333333
Canberra-Melbourne,Canberra,Melbourne,Tigerair Australia,Jan-20,34,32,2,20,21,12,11,2020,1,-35.3069,149.195,-37.669,144.841,65.625
Darwin-Brisbane,Darwin,Brisbane,Tigerair Australia,Jan-20,18,18,0,15,15,3,3,2020,1,-12.4147,130.8767,-27.3842,153.1175,83.33333333333334
Gold Coast-Melbourne,Gold Coast,Melbourne,Tigerair Australia,Jan-20,87,86,1,50,51,36,35,2020,1,-28.1644,153.5051,-37.669,144.841,59.30232558139535
Gold Coast-Sydney,Gold Coast,Sydney,Tigerair Australia,Jan-20,97,96,1,46,49,50,47,2020,1,-28.1644,153.5051,-33.9399,151.1753,51.041666666666664
Melbourne-Adelaide,Melbourne,Adelaide,Tigerair Australia,Jan-20,73,69,4,56,53,13,16,2020,1,-37.669,144.841,-34.945,138.5306,76.81159420289855
Melbourne-Brisbane,Melbourne,Brisbane,Tigerair Australia,Jan-20,121,118,3,91,81,27,37,2020,1,-37.669,144.841,-27.3842,153.1175,68.64406779661016
Melbourne-Cairns,Melbourne,Cairns,Tigerair Australia,Jan-20,43,43,0,34,34,9,9,2020,1,-37.669,144.841,-16.8858,145.7553,79.06976744186046
Melbourne-Canberra,Melbourne,Canberra,Tigerair Australia,Jan-20,34,32,2,23,23,9,9,2020,1,-37.669,144.841,-35.3069,149.195,71.875
