Departing_Port,Arriving_Port,Airline,Sectors_Flown,Departing_Latitude,Departing_Longitude,Arriving_Latitude,Arriving_Longitude
Sydney,Brisbane,Jetstar,6326,-33.9399,151.1753,-27.3842,153.1175
Sydney,Brisbane,Qantas,20543,-33.9399,151.1753,-27.3842,153.1175
Sydney,Brisbane,QantasLink,14,-33.9399,151.1753,-27.3842,153.1175
Sydney,Brisbane,Rex Airlines,3674,-33.9399,151.1753,-27.3842,153.1175
Sydney,Brisbane,Tigerair Australia,239,-33.9399,151.1753,-27.3842,153.1175
Sydney,Brisbane,Virgin Australia,16742,-33.9399,151.1753,-27.3842,153.1175
Sydney,Cairns,Jetstar,3669,-33.9399,151.1753,-16.8858,145.7553
Sydney,Cairns,Qantas,2211,-33.9399,151.1753,-16.8858,145.7553
Sydney,Cairns,QantasLink,36,-33.9399,151.1753,-16.8858,145.7553
Sydney,Cairns,Tigerair Australia,59,-33.9399,151.1753,-16.8858,145.7553
Sydney,Cairns,Virgin Australia,3024,-33.9399,151.1753,-16.8858,145.7553
Sydney,Canberra,Qantas,336,-33.9399,151.1753,-35.3069,149.195
Sydney,Canberra,QantasLink,14019,-33.9399,151.1753,-35.3069,149.195
Sydney,Canberra,Regional Express,416,-33.9399,151.1753,-35.3069,149.195
Sydney,Canberra,Rex Airlines,601,-33.9399,151.1753,-35.3069,149.195
Sydney,Canberra,Virgin Australia,7394,-33.9399,151.1753,-35.3069,149.195
Sydney,Darwin,Jetstar,262,-33.9399,151.1753,-12.4147,130.8767
Sydney,Darwin,Qantas,497,-33.9399,151.1753,-12.4147,130.8767
Sydney,Darwin,Virgin Australia,279,-33.9399,151.1753,-12.4147,130.8767
Sydney,Gold Coast,Jetstar,9618,-33.9399,151.1753,-28.1644,153.5051
Sydney,Gold Coast,Qantas,3661,-33.9399,151.1753,-28.1644,153.5051
Sydney,Gold Coast,QantasLink,706,-33.9399,151.1753,-28.1644,153.5051
Sydney,Gold Coast,Regional Express,171,-33.9399,151.1753,-28.1644,153.5051
Sydney,Gold Coast,Rex Airlines,1044,-33.9399,151.1753,-28.1644,153.5051
Sydney,Gold Coast,Tigerair Australia,166,-33.9399,151.1753,-28.1644,153.5051
Sydney,Gold Coast,Virgin Australia,11386,-33.9399,151.1753,-28.1644,153.5051
Sydney,Melbourne,Jetstar,14642,-33.9399,151.1753,-37.669,144.841
Sydney,Melbourne,Qantas,31170,-33.9399,151.1753,-37.669,144.841
Sydney,Melbourne,QantasLink,150,-33.9399,151.1753,-37.669,144.841
Sydney,Melbourne,Regional Express,527,-33.9399,151.1753,-37.669,144.841
Sydney,Melbourne,Rex Airlines,5185,-33.9399,151.1753,-37.669,144.841
Sydney,Melbourne,Tigerair Australia,440,-33.9399,151.1753,-37.669,144.841
Sydney,Melbourne,Virgin Australia,26233,-33.9399,151.1753,-37.669,144.841
Sydney,Perth,Jetstar,1591,-33.9399,151.1753,-31.9403,115.9676
Sydney,Perth,Qantas,7355,-33.9399,151.1753,-31.9403,115.9676
Sydney,Perth,Tigerair Australia,52,-33.9399,151.1753,-31.9403,115.9676
Sydney,Perth,Virgin Australia,5072,-33.9399,151.1753,-31.9403,115.9676
